Cantidad,Palabras
24286,los
21145,del
20131,que
17542,por
16536,una
16350,las
15934,con
13469,fue
10334,como
9333,para
7554,más
7173,sus
6211,dos
5981,son
5322,este
5184,esta
5028,está
4079,tres
3769,tiene
3668,era
3476,sin
3446,uno
3194,muy
3083,pero
2939,encuentra
2909,durante
2819,ser
2698,entre
2635,parte
2612,cuatro
2513,ciudad
2466,fueron
2341,hay
2318,sobre
2289,desde
2252,además
2239,años
2084,seis
2072,puede
2026,actualmente
2016,siete
1974,nombre
1964,todo
1923,embargo
1908,ocho
1888,cinco
1871,año
1857,esto
1840,cuando
1837,gran
1818,nueve
1801,sido
1777,primera
1759,hasta
1727,mismo
1685,todos
1646,ese
1627,estos
1612,forma
1611,universidad
1588,primer
1581,cada
1567,han
1529,otros
1528,donde
1520,tiempo
1418,entonces
1395,están
1389,vida
1385,ella
1366,así
1348,estas
1343,mayor
1330,hey
1327,varios
1324,san
1272,bien
1260,luego
1260,vez
1240,algunos
1196,tuvo
1189,tras
1183,lugar
1181,pueden
1177,nacional
1165,tarde
1156,familia
1150,cero
1148,estaba
1142,equipo
1129,hijo
1127,tanto
1118,tienen
1117,color
1117,varias
1106,nueva
1099,nació
1098,historia
1087,estado
1076,grupo
1070,día
1068,padre
1063,había
1061,mundo
1046,muchos
1044,guerra
1041,solo
1023,cuenta
1020,principal
999,carrera
999,centro
987,otras
980,allí
973,poco
962,club
957,obra
955,antes
955,hace
952,sede
948,bajo
948,general
938,todas
933,siempre
929,estudió
926,algunas
925,canción
924,segunda
924,sur
921,ellos
919,final
912,posteriormente
909,otro
902,mejor
899,sólo
897,río
888,siguiente
885,españa
884,partido
879,película
877,álbum
876,música
875,ambos
868,nunca
867,eso
866,serie
865,eran
856,estudios
855,veces
854,país
850,casa
837,mucho
831,aunque
831,norte
827,tenía
820,muchas
814,grandes
812,nada
810,diferentes
810,trabajo
802,estados
802,otra
789,zona
786,ahora
781,nuevo
778,escuela
773,hijos
772,hacia
770,obras
757,importante
752,agua
751,esa
748,hoy
741,banda
739,iglesia
735,hizo
733,unidos
729,momento
725,hacer
715,capital
703,junto
703,toda
696,finalmente
688,comenzó
685,madre
682,nos
669,dentro
669,sistema
668,mayoría
662,provincia
658,central
657,segundo
656,encuentran
653,gobierno
649,siendo
648,contra
648,menos
647,pueblo
645,miembro
644,último
642,estuvo
641,temporada
639,recibió
637,presidente
630,vamos
627,qué
627,región
622,hecho
622,tipo
614,firefox
614,mientras
614,muerte
613,the
606,fútbol
603,juan
602,trata
599,casi
597,algo
597,isla
596,principalmente
592,existen
587,estilo
587,misma
586,especie
580,internacional
578,canciones
574,juego
569,ver
568,ello
567,aquí
567,edificio
566,municipio
564,planta
561,noche
559,medio
558,quien
555,primeros
554,madrid
552,debe
551,argentina
546,realizó
545,principales
544,director
542,título
540,posee
538,tener
536,según
535,número
534,conocido
532,origen
531,actualidad
529,debido
529,les
529,maría
527,condado
527,largo
524,mar
521,actual
521,flores
520,producción
